repository,file_path,change_count
flask,docs/tutorial/blog.rst,1
flask,docs/tutorial/templates.rst,1
flask,docs/tutorial/tests.rst,1
flask,docs/tutorial/views.rst,1
flask,src/flask/globals.py,1
flask,tests/test_session_interface.py,1
flask,tests/test_templating.py,1
flask,docs/patterns/wtforms.rst,1
flask,docs/_static/flask-logo.svg,1
flask,docs/_static/flask-name.svg,1
flask,docs/_static/flask-horizontal.png,1
flask,docs/_static/flask-vertical.png,1
flask,docs/_static/shortcut-icon.png,1
flask,requirements/build.in,1
flask,requirements/tests-dev.txt,1
flask,requirements/tests.in,1
flask,tests/test_instance_config.py,1
flask,docs/patterns/favicon.rst,1
flask,docs/patterns/appfactories.rst,1
flask,tests/{typing => type_check}/typing_app_decorators.py,1
flask,tests/{typing => type_check}/typing_error_handler.py,1
flask,tests/{typing => type_check}/typing_route.py,1
flask,examples/javascript/{LICENSE.rst => LICENSE.txt},1
flask,examples/tutorial/{LICENSE.rst => LICENSE.txt},1
flask,examples/tutorial/flaskr/db.py,1
flask,examples/javascript/tests/test_js_example.py,1
flask,{requirements-skip => requirements}/tests-dev.txt,1
flask,{requirements-skip => requirements}/tests-min.in,1
flask,{requirements-skip => requirements}/tests-min.txt,1
flask,pre-commit.yaml => .github/workflows/pre-commit.yaml,1
flask,pre-commit.yaml,1
flask,docs/deploying/waitress.rst,1
flask,docs/logging.rst,1
flask,.devcontainer/on-create-command.sh,1
flask,.editorconfig,1
flask,.github/ISSUE_TEMPLATE/bug-report.md,1
flask,.github/SECURITY.md,1
flask,.github/pull_request_template.md,1
flask,LICENSE.rst => LICENSE.txt,1
flask,README.rst,1
flask,docs/license.rst,1
flask,docs/{security.rst => web-security.rst},1
flask,tests/test_json.py,1
flask,src/flask/logging.py,1
flask,docs/deploying/asgi.rst,1
flask,examples/javascript/README.rst,1
flask,requirements/tests-pallets-min.in,1
requests,.github/workflows/run-tests.yml,45
requests,tests/test_requests.py,35
requests,.github/workflows/codeql-analysis.yml,30
requests,HISTORY.md,26
requests,.github/workflows/lint.yml,25
requests,.pre-commit-config.yaml,21
requests,.github/workflows/publish.yml,19
requests,docs/user/advanced.rst,19
requests,setup.py,19
requests,src/requests/utils.py,18
requests,src/requests/models.py,17
requests,pyproject.toml,17
requests,src/requests/adapters.py,17
requests,src/requests/__version__.py,13
requests,requirements-dev.txt,11
requests,src/requests/sessions.py,10
requests,tests/test_utils.py,10
requests,src/requests/__init__.py,8
requests,README.md,8
requests,tox.ini,8
requests,setup.cfg,8
requests,requests/utils.py,8
requests,requests/__version__.py,8
requests,src/requests/_types.py,7
requests,requests/models.py,7
requests,requests/sessions.py,7
requests,.github/workflows/lock-issues.yml,6
requests,src/requests/compat.py,6
requests,docs/community/faq.rst,6
requests,docs/user/quickstart.rst,6
requests,.github/dependabot.yml,5
requests,docs/dev/contributing.rst,5
requests,docs/index.rst,5
requests,docs/_templates/sidebarintro.html,5
requests,docs/_templates/sidebarlogo.html,5
requests,.github/workflows/close-issues.yml,5
requests,Makefile,5
requests,src/requests/packages.py,5
requests,requests/adapters.py,5
requests,.github/workflows/typecheck.yml,4
requests,src/requests/auth.py,4
requests,src/requests/help.py,4
requests,tests/testserver/server.py,4
requests,requests/__init__.py,4
requests,requests/_internal_utils.py,4
requests,.github/workflows/zizmor.yml,3
requests,src/requests/_internal_utils.py,3
requests,src/requests/exceptions.py,3
requests,src/requests/status_codes.py,3
requests,docs/conf.py,3
requests,docs/api.rst,3
requests,AUTHORS.rst,3
requests,tests/test_lowlevel.py,3
requests,tests/certs/expired/ca/ca.cnf,3
requests,tests/certs/expired/ca/ca.crt,3
requests,requests/api.py,3
requests,.github/CONTRIBUTING.md,2
requests,src/requests/cookies.py,2
requests,tests/conftest.py,2
requests,tests/test_adapters.py,2
requests,docs/community/out-there.rst,2
requests,src/requests/hooks.py,2
requests,tests/test_structures.py,2
requests,docs/_static/custom.css,2
requests,tests/test_testserver.py,2
requests,tests/certs/expired/ca/ca-private.key,2
requests,tests/certs/expired/ca/ca.srl,2
requests,tests/certs/expired/server/server.csr,2
requests,tests/certs/expired/server/server.key,2
requests,tests/certs/expired/server/server.pem,2
requests,tests/certs/mtls/client/client.csr,2
requests,tests/certs/mtls/client/client.key,2
requests,tests/certs/mtls/client/client.pem,2
requests,tests/certs/valid/server/server.csr,2
requests,tests/certs/valid/server/server.key,2
requests,tests/certs/valid/server/server.pem,2
requests,MANIFEST.in,2
requests,.readthedocs.yaml,2
requests,tests/test_help.py,2
requests,requests/auth.py,2
requests,requests/cookies.py,2
requests,tests/__init__.py,2
requests,requests/compat.py,2
